state,population,wins, winsperpop ,estab,receipts, winsperreceipt 
Hawaii,1419561,1,0.0000007,5030,113994,0.00000877
Tennessee,6549352,3,0.00000046,24869,788832,0.0000038
New York,19746227,7,0.00000035,111963,3541396,0.00000198
Nevada,2839099,1,0.00000035,12293,395984,0.00000253
Virginia,8326289,2,0.00000024,25439,422571,0.00000473
Illinois,12880580,3,0.00000023,41445,722975,0.00000415
Minnesota,5457173,1,0.00000018,23890,364651,0.00000274
Ohio,11594163,2,0.00000017,31518,484765,0.00000413
Pennsylvania,12787209,2,0.00000016,36317,666150,0.000003
Texas,26956958,4,0.00000015,70440,1342238,0.00000298
Washington,7061530,1,0.00000014,23573,434852,0.0000023
New Jersey,8938175,1,0.00000011,29439,748956,0.00000134
Michigan,9909877,1,0.0000001,28531,434618,0.0000023
North Carolina,9943964,1,0.0000001,28342,480166,0.00000208
Georgia,10097343,1,0.0000001,31306,575354,0.00000174
California,38802500,3,0.00000008,171449,5573019,0.00000054
Connecticut,38802500,1,0.00000003,13485,325188,0.00000308
Alabama,0,0,0,0,0,0
Alaska,0,0,0,0,0,0
Arizona,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0
Colorado,0,0,0,0,0,0
Delaware,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0
Florida,0,0,0,0,0,0
Idaho,0,0,0,0,0,0
Indiana,0,0,0,0,0,0
Iowa,0,0,0,0,0,0
Kansas,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0
Maine,0,0,0,0,0,0
Maryland,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0
Missouri,0,0,0,0,0,0
Montana,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0
Oregon,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0
Utah,0,0,0,0,0,0
Vermont,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0
